scenario,baseline,run,recv,lost,loss_rate,reorder,rohc_ok,rohc_fail,raw,parse_err,avg_hdr_ratio_cloud,avg_hdr_ratio_stack,avg_hdr_ratio_tunnel,avg_total_ratio_cloud,e2e_latency_ms_avg,e2e_latency_ms_p95,e2e_latency_ms_p99,e2e_latency_samples,packet_count,rohc_raw_packets,rohc_ok_packets,rohc_mode_change_count,rohc_mode_change_rate,sid_avg,sid_change_count,sid_change_rate,seq_recv,seq_expected,seq_lost,seq_loss_rate,seq_reorder_count,seq_reorder_rate,seq_flow_count,seq_reorder_rate_flow_mean,seq_reorder_rate_flow_max,recv_stats,lost_stats,loss_rate_stats,loss_rate_true_stats,loss_rate_eff_stats,loss_rate_stats_last,loss_rate_true_stats_last,loss_rate_eff_stats_last,rohc_parse_fail_rate,policy_eval,policy_param_change,policy_sid_change,policy_param_rate,policy_sid_rate,gw_hdr_ratio_avg,gw_total_ratio_avg,gw_samples,gw_hdr_ratio_tail_avg,gw_total_ratio_tail_avg,gw_samples_tail
S3,B3,3,888,16,1.7699115044247788,4,879,0,0,0,83.90681818181818,89.54141858099628,74.01552295157614,65.65454545454546,79.63407725321889,97.74249999999999,99.8107,932,888,0,888,0,0.0,1.0,0,0.0,888,904,16,1.7699115044247788,4,0.45045045045045046,5,0.0,0.0,880,20,2.2990909090909093,2.0820454545454545,2.564318181818182,2.22,1.79,1.9,0.0,800,0,0,0.0,0.0,87.05464601769911,68.1233407079646,904,84.836,66.464,50
S3,B4,1,887,11,1.2249443207126949,4,879,0,0,0,83.70681818181818,89.62205495862503,74.0822224840768,65.525,79.97285714285714,98.48,99.96,931,887,0,887,0,0.0,1.0,0,0.0,887,898,11,1.2249443207126949,4,0.4509582863585118,5,0.0,0.0,880,15,1.99,1.5954545454545455,2.080909090909091,1.68,1.23,1.35,0.0,800,0,0,0.0,0.0,87.14276169265032,68.1988864142539,898,88.3,69.08800000000001,50
S3,B4,2,883,17,1.8888888888888888,6,879,0,0,0,84.25454545454545,89.53514282136555,74.01046475035352,65.94545454545454,80.60090614886731,98.327,99.9248,927,883,0,883,0,0.0,1.0,0,0.0,883,900,17,1.8888888888888888,6,0.6795016987542469,5,0.0,0.0,880,23,2.6720454545454544,2.0302272727272728,2.5143181818181817,2.55,1.9,2.01,0.0,800,0,0,0.0,0.0,87.0491111111111,68.12433333333334,900,88.3,69.12400000000001,50
S3,B4,3,885,17,1.8847006651884701,6,879,0,0,0,84.38181818181818,89.73542709108973,74.17603107416356,66.05,79.55779332615715,98.296,100.00760000000001,929,885,0,885,0,0.0,1.0,0,0.0,885,902,17,1.8847006651884701,6,0.6779661016949152,4,0.0,0.0,880,23,2.2429545454545456,1.8997727272727272,2.3813636363636363,2.55,1.9,2.01,0.0,800,0,0,0.0,0.0,87.339911308204,68.3450110864745,902,88.3,69.08800000000001,50
S4,B1,1,854,43,4.793756967670011,5,0,0,839,0,0.0,,,0.0,119.788125,146.82,149.4785,896,854,854,0,0,0.0,,0,,854,897,43,4.793756967670011,5,0.585480093676815,5,0.0,0.0,840,48,5.325238095238095,4.831428571428572,5.322857142857143,5.41,4.87,4.98,0.0,800,0,0,0.0,0.0,,,,,,
S4,B1,2,854,43,4.793756967670011,7,0,0,839,0,0.0,,,0.0,120.58988839285715,148.03750000000002,149.88049999999998,896,854,854,0,0,0.0,,0,,854,897,43,4.793756967670011,7,0.819672131147541,5,0.0,0.0,840,49,3.8066666666666666,3.333095238095238,3.8378571428571426,5.51,4.76,4.88,0.0,800,0,0,0.0,0.0,,,,,,
S4,B1,3,843,59,6.541019955654102,5,0,0,839,0,0.0,,,0.0,120.54210169491526,147.686,149.49960000000002,885,843,843,0,0,0.0,,0,,843,902,59,6.541019955654102,5,0.5931198102016607,5,0.0,0.0,840,64,7.528095238095238,6.965,7.439761904761905,7.08,6.56,6.67,0.0,800,0,0,0.0,0.0,,,,,,
S4,B2,1,851,45,5.022321428571429,2,0,0,839,0,0.0,,,0.0,120.25454647256439,146.954,149.74640000000002,893,851,851,0,0,0.0,1.0,0,0.0,851,896,45,5.022321428571429,2,0.23501762632197415,5,0.0,0.0,840,47,4.562619047619047,4.42,4.917619047619048,5.3,5.08,5.2,0.0,800,0,0,0.0,0.0,,,,,,
S4,B2,2,843,53,5.915178571428571,5,0,0,839,0,0.0,,,0.0,120.2516384180791,147.56799999999998,149.83919999999998,885,843,843,0,0,0.0,1.0,0,0.0,843,896,53,5.915178571428571,5,0.5931198102016607,5,0.0,0.0,840,58,6.323571428571428,5.8273809523809526,6.322142857142857,6.46,5.94,6.05,0.0,800,0,0,0.0,0.0,,,,,,
S4,B2,3,839,55,6.152125279642058,9,0,0,838,1,0.0,,,0.0,120.85208853575483,147.39,149.8,881,839,839,0,0,0.0,1.0,0,0.0,839,894,55,6.152125279642058,9,1.0727056019070322,5,0.0,0.0,840,63,7.351190476190476,5.819285714285714,6.770476190476191,6.98,6.04,6.26,0.11904761904761904,800,0,0,0.0,0.0,,,,,,
S4,B3,1,849,53,5.875831485587583,3,839,0,0,0,84.2,89.6521927144996,74.1072312254836,65.89761904761905,119.75781144781145,146.695,149.567,891,849,0,849,0,0.0,1.0,0,0.0,849,902,53,5.875831485587583,4,0.4711425206124853,5,0.0,0.0,840,55,6.602380952380952,6.507142857142857,6.9869047619047615,6.15,5.83,5.94,0.0,800,0,0,0.0,0.0,87.14789356984478,68.19756097560976,902,88.3,69.08800000000001,50
S4,B3,2,855,49,5.420353982300885,9,839,0,0,0,83.5047619047619,89.55624435142819,74.02790324525314,65.35714285714286,120.73017837235228,147.236,149.9,897,855,0,855,0,0.0,1.0,0,0.0,855,904,49,5.420353982300885,9,1.0526315789473684,5,0.0,0.0,840,58,6.457142857142857,5.632142857142857,6.122619047619048,6.46,5.51,5.62,0.0,800,0,0,0.0,0.0,87.05464601769911,68.14225663716815,904,88.3,69.08800000000001,50
S4,B3,3,860,37,4.124860646599777,5,858,0,0,1,84.4186046511628,89.68666579710238,74.13566105104178,66.0813953488372,120.56212624584718,147.484,149.4694,903,860,0,860,0,0.0,1.0,0,0.0,860,897,37,4.124860646599777,5,0.5813953488372093,4,0.0,0.0,860,41,5.756046511627907,4.653720930232558,5.611627906976744,4.55,4.02,4.24,0.11627906976744186,800,0,0,0.0,0.0,87.14276169265032,68.1988864142539,898,88.3,69.12400000000001,50
S4,B4,1,863,39,4.323725055432372,2,859,0,0,0,83.58372093023256,89.60924434610422,74.07157055681495,65.41627906976744,119.68515452538631,146.78,149.599,906,863,0,863,0,0.0,1.0,0,0.0,863,902,39,4.323725055432372,2,0.23174971031286212,5,0.0,0.0,860,40,4.9509302325581395,4.665348837209303,5.153488372093023,4.44,4.23,4.34,0.0,800,0,0,0.0,0.0,87.05188470066518,68.12383592017738,902,88.3,69.08800000000001,50
S4,B4,2,845,52,5.797101449275362,2,839,0,0,0,83.75238095238095,89.55054051363516,74.02308807354284,65.56190476190476,120.63600901916573,147.262,149.5856,887,845,0,845,0,0.0,1.0,0,0.0,845,897,52,5.797101449275362,2,0.23668639053254437,5,0.0,0.0,840,54,5.252857142857143,5.132142857142857,5.625952380952381,6.04,5.83,5.94,0.0,800,0,0,0.0,0.0,87.14147157190635,68.19921962095876,897,88.3,69.08800000000001,50
S4,B4,3,863,39,4.323725055432372,4,859,0,0,0,83.63023255813954,89.47835496036494,73.96338567045868,65.44651162790697,119.94846578366446,146.715,149.14950000000002,906,863,0,863,0,0.0,1.0,0,0.0,863,902,39,4.323725055432372,4,0.46349942062572425,5,0.0,0.0,860,43,4.87,4.612325581395349,5.1032558139534885,4.76,4.34,4.45,0.0,800,0,0,0.0,0.0,87.05188470066518,68.13647450110865,902,88.3,69.08800000000001,50
