p,accept_prob,reject_prob,inconclusive_prob
0.263,2.17926739822781e-19,0.999999999925449,7.455103201436941e-11
0.264,1.532950839072274e-19,0.9999999999428542,5.714584361271591e-11
0.265,1.0772078139422197e-19,0.9999999999562412,4.375877438178577e-11
0.266,7.561794399941958e-20,0.9999999999665415,3.3458458226220955e-11
0.267,5.302795276521736e-20,0.9999999999744428,2.555722300456864e-11
0.268,3.714838937736113e-20,0.9999999999805044,1.949562733472021e-11
0.269,2.5997449304494648e-20,0.9999999999851498,1.485023215508363e-11
0.27,1.8175132575522734e-20,0.9999999999886985,1.1301515279171781e-11
0.271,1.2693488354417031e-20,0.9999999999914138,8.586242827846036e-12
0.272,8.856077041846708e-21,0.999999999993485,6.515010753105344e-12
0.273,6.172473075536037e-21,0.9999999999950558,4.94415619556321e-12
0.274,4.297687701546872e-21,0.9999999999962544,3.745559418177891e-12
0.275,2.9892946747559937e-21,0.9999999999971669,2.8330671142384745e-12
0.276,2.077118184070424e-21,0.999999999997854,2.145950084297965e-12
0.277,1.441825344141763e-21,0.9999999999983796,1.620370504440416e-12
0.278,9.998236820804671e-22,0.9999999999987814,1.2185807918285718e-12
0.279,6.926180954707813e-22,0.9999999999990846,9.153788838034416e-13
0.28,4.7931852854951665e-22,0.9999999999993134,6.865619184281968e-13
0.281,3.3137128679070453e-22,0.9999999999994771,5.229150445984487e-13
0.282,2.288579976685089e-22,0.9999999999995859,4.141131881851834e-13
0.283,1.578985534977124e-22,0.9999999999997283,2.716715741257758e-13
0.284,1.0883067126704347e-22,0.9999999999997587,2.412514632510465e-13
0.285,7.493518949941095e-23,0.999999999999863,1.3700152123874432e-13
0.286,5.1544447661338794e-23,0.9999999999998539,1.461053500406706e-13
0.287,3.5419283171805834e-23,0.9999999999999253,7.471800955727304e-14
0.288,2.4314181091442606e-23,0.9999999999999115,8.848477506262498e-14
0.289,1.667407382085195e-23,0.9999999999999747,2.531308496145357e-14
0.29,1.1423157482362988e-23,0.9999999999999486,5.140332604014475e-14
0.291,7.817954598710287e-24,0.9999999999999907,9.325873406851315e-15
0.292,5.345185857703238e-24,0.9999999999999534,4.6629367034256575e-14
0.293,3.6508610310508315e-24,1.0000000000000044,-4.440892098500626e-15
0.294,2.491097596266755e-24,0.9999999999999741,2.5868196473766147e-14
0.295,1.698045192412028e-24,1.0000000000000127,-1.2656542480726785e-14
0.296,1.156301013944466e-24,0.9999999999999769,2.3092638912203256e-14
0.297,7.866033914718927e-25,1.0000000000000135,-1.354472090042691e-14
0.298,5.345693348787093e-25,0.9999999999999813,1.865174681370263e-14
0.299,3.6292396770244255e-25,1.0000000000000238,-2.375877272697835e-14
0.3,2.4614481216937015e-25,0.9999999999999829,1.709743457922741e-14
